QID	NDCG@1_B	NDCG@10_B	NDCG@20_B	NDCG_B	NDCG@1_G	NDCG@10_G	NDCG@20_G	NDCG_G
7485	0.0	0.0694312219368	0.258458183221	0.571542264956	0.0	0.00768044354532	0.137511060055	0.296184540853
7115	0.0	0.573492301467	0.544849879923	0.894583556865	0.0	0.0316098118919	0.0325640415616	0.457620927654
7129	0.0	0.546257425459	0.465820811656	0.712791797823	0.0	0.0872223152537	0.0944719017103	0.376039733891
7030	1.0	0.772159625495	0.740521434303	0.871143283696	1.0	0.467807808798	0.552886399362	0.717428082089
7033	0.0	0.135685445391	0.162698033081	0.56367102218	0.0	0.00921389362088	0.0165034464771	0.288417007375
7034	0.0	0.0	0.0363562879885	0.589953166353	0.0	0.0	0.00043053683819	0.358679882294
7018	1.0	0.727329844311	0.716031537087	0.873689576473	1.0	0.278525617211	0.400735294471	0.632446505381
7127	1.0	0.588467400437	0.487247013988	0.762049481873	0.00787401574803	0.181868406117	0.184881279736	0.434677287399
7039	0.0	0.0662542234544	0.214215825891	0.560100117209	0.0	0.000887476595022	0.0991852095109	0.32581352946
7132	0.0	0.779908233702	0.68238719677	0.866854560179	0.0	0.581885872376	0.517152801791	0.80019350955
7124	0.0	0.306336530656	0.375685787744	0.75218521307	0.0	0.0877649058703	0.148948586507	0.46075954227
7348	0.0	0.110045883149	0.144683058172	0.569727341381	0.0	0.117084304307	0.118597247843	0.414981184774
7096	0.0	0.685119869332	0.612164469171	0.815228231948	0.0	0.0973592218162	0.18044239275	0.494837692829
7097	0.0	0.0	0.0383846381654	0.579918223546	0.0	0.0	0.000359051934577	0.401621060884
7094	0.0	0.545501723779	0.45200243547	0.762909415721	0.0	0.0142850661296	0.0657702312909	0.414132125568
7090	1.0	0.358954210172	0.264522297405	0.676031264058	1.0	0.272503207137	0.266034268419	0.524666208246
7505	0.0	0.511170778175	0.399686709094	0.808429577159	0.0	0.103425939097	0.0705946253023	0.642129623543
7075	0.0	0.437806856076	0.525131224863	0.80313804656	0.0	0.253376304147	0.312310901845	0.726928364104
7076	0.0	0.368375634139	0.375960999196	0.797483190855	0.0	0.287925444241	0.229705242162	0.632369943067
7056	1.0	0.678049460811	0.753838996023	0.874025136875	1.0	0.345847878951	0.402211635033	0.672935774693
7099	1.0	1.0	0.894603150411	0.90501822445	1.0	0.502866801972	0.507935066239	0.660214858522
7415	1.0	0.857204855964	0.840916733697	0.921696754714	0.0551181102362	0.0406870813268	0.124731284999	0.538107073932
7209	0.0	0.685119869332	0.730484183036	0.859789817701	0.0	0.159894159714	0.187161409483	0.51348451659
7009	0.0	0.0947883643696	0.161956621283	0.489927611162	0.0	0.0947883643696	0.19500693839	0.455054550868
7047	1.0	0.314880130668	0.37718155139	0.717138933232	0.00787401574803	0.0965213704034	0.202934736152	0.507789644685
7046	0.0	0.0	0.0	0.37755876118	0.0	0.0	0.0	0.31159990926
7040	0.0	0.224005561515	0.274212917747	0.61768800964	0.0	0.277003731852	0.283815795503	0.5281612415
7025	1.0	0.823699893397	0.814972058935	0.918158366261	0.00787401574803	0.0164494864156	0.0312388119575	0.344793724477
7042	0.0	0.224005561515	0.285388466173	0.791520183301	0.0	0.0057863328139	0.0680074737625	0.460684883087
7001	0.0	0.129875011653	0.294505521523	0.8064237169	0.0	0.0697608810717	0.0567364702805	0.474284611899
7109	0.0	0.28997736516	0.430903899018	0.707119133125	0.0	0.209527175263	0.345431208013	0.631987784996
7003	1.0	1.0	1.0	0.966721920387	0.00787401574803	0.0158182182584	0.0214763084028	0.477294470737
7004	0.0	0.0733639220994	0.0828566897863	0.542483773107	0.0	0.00687897801397	0.0997480062534	0.293716179808
7007	1.0	0.631341946052	0.577457953418	0.851772346715	1.0	0.22332995669	0.228437417441	0.566121870005
7080	0.0	0.151762191078	0.133452372761	0.508190493172	0.0	0.00160970370209	0.074448281195	0.305078374237
7084	1.0	0.643121141594	0.700109055265	0.878812116228	0.0551181102362	0.200262602627	0.346980149284	0.729099229146
7069	1.0	0.861137556126	0.728762054112	0.917472404071	0.00787401574803	0.0306559025413	0.0962314328408	0.504953741515
7068	1.0	0.841492960259	0.793017631932	0.9208670779	0.0551181102362	0.154793003828	0.239423483121	0.569527260151
7067	0.0	0.215018129295	0.240443795496	0.721752335228	0.0	0.0744538088157	0.0504033480358	0.474334132807
7145	1.0	0.522495596792	0.483999447103	0.815844290715	0.0551181102362	0.170241497923	0.175034585565	0.532207368166
7258	0.0	0.16354138662	0.212876410505	0.586207041116	0.0	0.0134884597025	0.0929232158582	0.333738026255
7504	0.0	0.0783982689787	0.123081720598	0.611257193696	0.0	0.000617309204556	0.0545317297155	0.403342648675
7089	0.0	0.29025978497	0.29588054689	0.663710742397	0.0	0.152490746166	0.206968907617	0.592329262348
7506	0.0	0.129875011653	0.373246481726	0.672725218879	0.0	0.129875011653	0.373246481726	0.675608118941
7103	0.0	0.434629857593	0.423401216624	0.767947287602	0.0	0.0233836046817	0.0284352229901	0.309474718668
7087	1.0	0.823699893397	0.671070457291	0.850341238393	1.0	0.478839415469	0.473693204635	0.678637208171
7404	0.0	0.534176905162	0.629727942918	0.897643825754	0.0	0.00937966722729	0.0273407451516	0.429052777143
7407	1.0	1.0	1.0	0.97067860173	0.00787401574803	0.0900642297671	0.0995066601175	0.708885416729
7406	1.0	0.286345989752	0.292130491607	0.736975550944	1.0	0.22374357389	0.259203720698	0.572818729827
7465	0.0	0.0	0.0	0.534669751425	0.0	0.0	0.0	0.29004930109
