9	1.000000
10	0.943089
11	0.910569
12	0.902439
13	0.894309
14	0.853659
15	0.845528
16	0.796748
17	0.723577
18	0.617886
19	0.569106
20	0.544715
21	0.536585
23	0.520325
24	0.495935
25	0.463415
26	0.430894
28	0.406504
29	0.398374
30	0.382114
32	0.373984
33	0.365854
34	0.357724
35	0.333333
38	0.317073
39	0.284553
40	0.276423
41	0.260163
42	0.252033
43	0.243902
44	0.235772
47	0.227642
49	0.211382
50	0.203252
53	0.186992
54	0.178862
56	0.162602
57	0.154472
58	0.146341
63	0.121951
65	0.105691
67	0.089431
75	0.081301
77	0.065041
87	0.056911
107	0.048780
112	0.040650
115	0.032520
119	0.016260
120	0.008130
