9	1.000000
10	0.978378
11	0.962162
12	0.945946
13	0.902703
14	0.881081
15	0.864865
16	0.843243
17	0.827027
18	0.767568
19	0.691892
20	0.621622
21	0.610811
22	0.572973
23	0.540541
24	0.524324
25	0.508108
26	0.481081
27	0.464865
28	0.427027
29	0.405405
30	0.378378
31	0.362162
33	0.356757
34	0.345946
35	0.308108
36	0.286486
37	0.270270
38	0.259459
39	0.254054
40	0.227027
42	0.221622
43	0.210811
44	0.189189
45	0.183784
47	0.172973
49	0.156757
51	0.140541
54	0.113514
55	0.097297
56	0.081081
57	0.075676
58	0.064865
59	0.059459
62	0.048649
63	0.037838
68	0.027027
69	0.021622
70	0.016216
71	0.010811
